組合せ番号,男女,トーナメント表PDFの表記
1,男子,センターサークル
2,男子,MIRRORS
3,男子,VLakers Basketball Club U14 男子
4,男子,SAKURA PRESS 男子
5,男子,COULEUR
6,男子,ZENITH
7,男子,甲南中学校
8,男子,B-LION
9,男子,Falcons U15 basketball club team
10,男子,ARMS
11,男子,G.Dark Horse
12,男子,BAYCROWN JUNIOR
13,男子,BAMBOO Shoot U15
14,男子,神戸HOPES
15,男子,WEST RIVER
16,男子,YFT PRESTO
17,男子,B.P.F ACADEMY
18,男子,Dpro Laluz
19,男子,神戸ストークスU15
20,男子,BRAVE BIRDS
21,男子,ZERO
22,男子,ICE
23,男子,EPIC BASKETBALL CLUB U14
24,男子,中崎B.B.C. U15
25,男子,HDC Academy Cranes
26,男子,えびす
27,男子,尼崎市立大庄中学校
28,男子,えびすTHIRD
29,男子,U15 ドリームメーカーズ
30,男子,神戸ブライアンツ
31,男子,All Blacks
32,男子,U14 ゴッドドア
33,男子,Turkeys 2nd
34,男子,VLakers Basketball Club U15 男子
35,男子,V-WAVE
36,男子,Westrick
37,男子,VEARTH
38,男子,HYOGO KOREA
39,男子,報徳学園中学校
40,男子,NorthWave
41,男子,池田バスケットボールクラブ
42,男子,BRAVEBIRDS U14
43,男子,DIVE basketball academy
44,男子,DRAGON basketball
45,男子,WINGS
46,男子,明石市立野々池中学校
47,男子,KARTER
48,男子,Grow wings
49,男子,EPIC BASKETBALL CLUB U15
50,男子,西神戸ユニバース
51,男子,BCJ Academy
52,男子,DunkGo Club
53,男子,UNICORN BASKETBALL CLUB
54,男子,BRUINS ashiya
55,男子,Improve Basketball Club
56,男子,SKYBLUEZ BASKETBALL CLUB
57,男子,神戸ストークスU14
58,男子,Three B
59,男子,ゴッド ドア
60,男子,Three B U14
61,男子,えびすSECOND
62,男子,SAMURAI
63,男子,FightingArts
64,男子,TURKEYS
65,男子,RIVER WEST
66,男子,Kobe Center Circle
67,男子,RED PIECE
68,男子,GOAT
69,男子,cantera karter
70,男子,Kobe Center Circle 2
71,男子,Wild Wolves
72,男子,team DENY
73,男子,尼崎市立塚口中学校
74,男子,BELUGA
75,男子,A.C.T. BASKETBALL CLUB 2026
76,男子,DREAMSEEKER
77,男子,明石市立望海中学校
