組合せ番号,男女,トーナメント表PDFの表記
1,女子,All BLUE
2,女子,BLACK PANTHERS_U14
3,女子,BRUINS kobe U15
4,女子,SAKURA PRESS 女子
5,女子,TURKEYS
6,女子,PENGUINS U15
7,女子,Dpro Leonora
8,女子,ゴッド ドア
9,女子,VODKA Basketball Club
10,女子,池田バスケットボールクラブ
11,女子,WEST RIVER
12,女子,ROSELLE
13,女子,GLANZ
14,女子,EPIC BASKETBALL CLUB U15
15,女子,ALL BLUE GAO
16,女子,VOLTAGE
17,女子,COULEUR
18,女子,KARTER
19,女子,WINGS
20,女子,HDC Academy Cranes
21,女子,KOBE RISING PHOENIX BASKETBALL SCHOOL
22,女子,VLakers Basketball Club U15 女子
23,女子,CLUTCH
24,女子,BAMBOO Shoot U15
25,女子,百合学院中学校
26,女子,NorthWave
27,女子,明石市立二見中学校
28,女子,DIVE basketball academy
29,女子,DRAGON basketball
30,女子,HyogoForce U13
31,女子,Wild wolves
32,女子,HyogoForce
33,女子,西神戸ユニバース
34,女子,南あわじ市立三原中学校
35,女子,A.C.T. BASKETBALL CLUB 2026
36,女子,MONKEYS basketball club
37,女子,BLACK PANTHERS
38,女子,BENCHERS
39,女子,EPIC BASKETBALL CLUB U14
40,女子,CORES
41,女子,BE BEST
42,女子,B.Victoire
43,女子,DREAMSEEKER
44,女子,V-WAVE
45,女子,DunkGo Club
46,女子,RC
47,女子,ICE
48,女子,VLakers Basketball Club U14 女子
49,女子,センターサークル
50,女子,高砂市立鹿島中学校
