チーム名,男女,写真,ロゴ,広告区分,状態,写真状態,ロゴ状態
ZENITH,男子,あり,あり,版下提出,受領,,提出
ARMS,男子,あり,あり,おまかせ,受領,,提出
Kobe Center Circle2,男子,あり,あり,版下提出済,受領,,提出
BE BEST,女子,あり,あり,おまかせ,受領,,提出
CORES,女子,あり,あり,版下提出,受領,,提出済
MONKEYS basketball club,女子,あり,あり,版下提出,受領,,提出
Falcons U15 basketball club team,男子,あり,あり,広告不要,受領,,提出
Kobe Center Circle,男子,あり,あり,版下提出済,受領,,提出
GLANZ,女子,あり,あり,版下提出,受領,,提出
明石市立望海中学校,男子,あり,あり,版下提出,受領,,提出
中崎B.B.C.U15,男子,あり,あり,おまかせ,受領,,提出
ICE,女子,あり,あり,版下提出済,受領,,提出済
ICE,男子,あり,あり,版下提出済,受領,,提出済
HDC Academy Cranes,男子,あり,あり,版下提出,受領,,提出
HDC Academy Cranes,女子,あり,あり,版下提出済,受領,,提出
DunkGo Club,女子,あり,あり,版下提出,受領,,提出
DunkGo Club,男子,あり,あり,版下提出済,受領,,提出
All Blacks,男子,あり,あり,版下提出済,受領,,提出済
センターサークル,女子,あり,あり,版下提出済,受領,,提出
神戸ブライアンツ,男子,あり,あり,おまかせ,受領,,提出
CLUTCH,女子,あり,あり,おまかせ,受領,,提出
GOAT,男子,あり,あり,おまかせ,受領,,提出
神戸ストークスU15,男子,あり,あり,おまかせ,受領,,提出
神戸ストークスU14,男子,あり,あり,おまかせ,受領,,提出
BRAVE BIRDS,男子,あり,あり,おまかせ,受領,,提出
BRAVE BIRDS U14,男子,あり,あり,版下提出済,受領,,提出
BAY CROWN JUNIOR,男子,あり,あり,版下提出,受領,,提出
BCJ Academy,男子,あり,あり,版下提出済,受領,,提出
センターサークル,男子,あり,あり,版下提出,受領,,提出
V-WAVE,男子,あり,あり,おまかせ,受領,,提出
V-WAVE,女子,あり,あり,おまかせ,受領,,提出
Three B,男子,あり,あり,版下提出,受領,,提出
Three B  U14,男子,あり,あり,版下提出済,受領,,提出
南あわじ市立三原中学校,女子,あり,なし,広告不要,受領,,ロゴなし
VODKA Basketball Club,女子,あり,なし,版下提出,受領,,ロゴなし
SAKURA PRESS　男子,男子,あり,あり,版下提出,受領,,提出
SAKURA PRESS 女子,女子,あり,あり,版下提出済,受領,,提出
明石市立二見中学校,女子,あり,なし,広告不要,受領,,ロゴなし
B.Victoire,女子,あり,あり,おまかせ,受領,,提出
SKYBLUEZ BASKETBALL CLUB,男子,あり,なし,広告不要,受領,,ロゴなし
明石市立野々池中学校,男子,あり,なし,広告不要,受領,,ロゴなし
YFT PRESTO,男子,あり,あり,版下提出,受領,,提出済
尼崎市立大庄中学校,男子,あり,あり,広告不要,受領,,提出
御影ストーンズ,男子,あり,あり,広告不要,不参加・掲載対象外,,提出
御影ストーンズ,女子,あり,あり,広告不要,不参加・掲載対象外,,提出
WEST RIVER,男子,あり,なし,版下提出,受領,,ロゴなし
WESTRIVER,女子,あり,なし,版下提出,受領,,ロゴなし
BAMBOO Shoot U15,男子,なし,なし,広告不要,受領,,ロゴなし
BAMBOO Shoot U15,女子,なし,なし,広告不要,受領,,ロゴなし
BRUINS ashiya,男子,あり,あり,版下提出済,受領,,提出
teamDENY,男子,あり,あり,版下提出済,受領,,提出済
Wild Wolves,男子,あり,あり,おまかせ,受領,,提出
PENGUINS,女子,あり,あり,おまかせ,受領,,提出
ゴッド　ドア,男子,あり,あり,おまかせ,受領,,提出
U14 ゴッドドア,男子,あり,あり,版下提出済,受領,,提出
ゴッド　ドア,女子,あり,あり,版下提出済,受領,,提出
RC,女子,あり,あり,版下提出,受領,,提出
Grow Wings,男子,あり,あり,おまかせ,受領,,提出
Westrick,男子,あり,あり,おまかせ,受領,,提出
FightingArts,男子,あり,あり,版下提出,受領,,提出
報徳学園中学校,男子,あり,あり,版下提出,受領,,提出
BRUINS kobe U15,女子,あり,あり,版下提出済,受領,,提出
VLakers Basketball Club U15 男子,男子,あり,あり,版下提出,受領,,提出済
VLakers Basketball Club U15 女子,女子,あり,あり,版下提出済,受領,,提出
VLakers Basketball Club U14 男子,男子,あり,あり,版下提出済,受領,,提出
VLakers Basketball Club U14 女子,女子,あり,あり,版下提出済,受領,,提出
KARTER,男子,あり,あり,おまかせ,受領,,提出
cantera karter,男子,あり,あり,おまかせ,受領,,提出
BENCHERS,女子,あり,なし,おまかせ,受領,,ロゴなし
All BLUE,女子,あり,あり,版下提出（2チーム共通）,受領,,提出
All BLUE GAO,女子,あり,あり,版下提出（2チーム共通）,受領,,提出
NorthWave,女子,あり,あり,広告不要,受領,,提出
North Wave,男子,あり,あり,版下提出済,受領,,提出
HyogoForce,女子,あり,あり,広告不要,受領,,提出
HyogoForce U13,女子,あり,あり,広告不要,受領,,提出
池田バスケットボールクラブ,男子,なし,なし,広告不要,受領,,ロゴなし
池田バスケットボールクラブ,女子,なし,なし,広告不要,受領,,ロゴなし
西神戸ユニバース,男子,あり,あり,おまかせ,受領,,提出
西神戸ユニバース,女子,あり,あり,おまかせ,受領,,提出
VOLTAGE,女子,あり,あり,版下提出,受領,,提出
A.C.T. BASKETBALL CLUB,男子,なし,あり,おまかせ,受領,,提出
A.C.T. BASKETBALL CLUB,女子,なし,あり,おまかせ,受領,,提出
RIVER WEST,男子,あり,なし,広告不要,受領,,ロゴなし
百合学院中学校,女子,あり,なし,広告不要,受領,,ロゴなし
高砂市立鹿島中学校,女子,あり,あり,広告不要,受領,,提出
尼崎市立塚口中学校,男子,あり,なし,版下提出済,受領,,ロゴなし
U15Dream MakeR's,男子,あり,なし,版下提出済,受領,,ロゴなし
えびす,男子,あり,あり,版下提出,受領,,提出
甲南中学校,男子,あり,なし,おまかせ,受領,,ロゴなし
WINGS,女子,あり,なし,広告不要,受領,,ロゴなし
えびすSECOND,男子,あり,あり,版下提出済,受領,,提出
えびすTHIRD,男子,あり,あり,版下提出済,受領,,提出
UNICORN BASKETBALL CLUB,男子,あり,あり,広告不要,受領,,提出
神戸HOPES,男子,なし,なし,広告不要,受領,写真なし,ロゴなし
COULEUR,男子,なし,あり,広告不要,受領,写真なし,提出
COULEUR,女子,なし,あり,広告不要,受領,写真なし,提出
KARTER,女子,あり,あり,おまかせ,受領,提出,提出
RED PIECE,男子,あり,あり,おまかせ,受領,提出,提出
ZERO,男子,なし,なし,広告不要,受領,写真なし,ロゴなし
MIRRORS,男子,あり,あり,おまかせ,受領,提出,提出
VEARTH,男子,あり,あり,版下提出,受領,提出,提出
Wild wolves,女子,あり,なし,広告不要,受領,提出,ロゴなし
G.DarkHorse,男子,あり,なし,版下提出,受領,提出,ロゴなし
Turkeys 2nd,男子,あり,あり,広告不要,受領,提出,提出
WINGS,男子,あり,あり,おまかせ,受領,提出,提出
BLACK PANTHERS,女子,あり,あり,おまかせ,受領,提出,提出
BLACK PANTHERS_U14,女子,あり,あり,おまかせ,受領,提出,提出
DIVE basketball academy,男子,あり,なし,広告不要,受領,提出,ロゴなし
DIVE basketball academy,女子,あり,なし,広告不要,受領,提出,ロゴなし
DRAGON basketball,男子,なし,あり,おまかせ,受領,写真なし,提出
DRAGON basketball,女子,なし,あり,おまかせ,受領,写真なし,提出
EPIC BASKETBALL CLUB U15,男子,あり,あり,版下提出,受領,提出,提出
EPIC BASKETBALL CLUB U14,男子,あり,あり,版下提出,受領,提出,提出
DREAM SEEKER,男子,あり,あり,おまかせ,受領,提出,提出
DREAM SEEKER,女子,あり,あり,おまかせ,受領,提出,提出
B.P.F ACADEMY,男子,あり,あり,おまかせ,受領,提出,提出
ROSELLE,女子,あり,あり,広告不要,受領,提出,提出
TURKEYS,女子,あり,あり,版下提出,受領,提出,提出
EPIC BASKETBALL CLUB U14,女子,あり,あり,版下提出,受領,提出,提出
EPIC BASKETBALL CLUB U15,女子,あり,あり,版下提出,受領,提出,提出
TURKEYS,男子,あり,あり,版下提出,受領,提出,提出
BELUGA,男子,なし,あり,おまかせ,受領,写真なし,提出
BELUGA,女子,なし,あり,おまかせ,受領,写真なし,提出
Improve  Basketball Club,男子,あり,あり,おまかせ,受領,提出,提出
Dpro Laluz,男子,あり,あり,広告不要,受領,提出,提出
Dpro Leonora,女子,あり,あり,広告不要,受領,提出,提出
KOBE RISING PHOENIX BASKETBALL SCHOOL,女子,あり,あり,広告不要,受領,,提出
