男女,トーナメント組合せ番号,トーナメント表の表記,メンバー表のチーム名,メンバー表の整理番号,メンバー表の掲載順,番号一致
男子,1,センターサークル,センターサークル,31,31,×
男子,2,MIRRORS,MIRRORS,42,42,×
男子,3,VLakers Basketball Club U14 男子,VLakers Basketball Club U14 男子,64,63,×
男子,4,SAKURA PRESS 男子,SAKURA PRESS 男子,2,2,×
男子,5,COULEUR,COULEUR,7,7,×
男子,6,ZENITH,ZENITH,34,34,×
男子,7,甲南中学校,甲南中学校,21,21,×
男子,8,B-LION,B-LION,4,4,×
男子,9,Falcons U15 basketball club team,Falcons U15 basketball club team,6,6,×
男子,10,ARMS,ARMS,37,37,×
男子,11,G.Dark Horse,G.Dark Horse,41,41,×
男子,12,BAYCROWN JUNIOR,BAYCROWN JUNIOR,17,17,×
男子,13,BAMBOO Shoot U15,（メンバー表なし＝棄権）,,,―
男子,14,神戸HOPES,神戸HOPES,57,57,×
男子,15,WEST RIVER,WEST RIVER,47,47,×
男子,16,YFT PRESTO,YFT PRESTO,66,65,×
男子,17,B.P.F ACADEMY,B.P.F ACADEMY,16,16,×
男子,18,Dpro Laluz,Dpro Laluz,59,59,×
男子,19,神戸ストークスU15,神戸ストークスU15,11,11,×
男子,20,BRAVE BIRDS,BRAVE BIRDS,52,52,×
男子,21,ZERO,ZERO,35,35,×
男子,22,ICE,ICE,43,43,×
男子,23,EPIC BASKETBALL CLUB U14,EPIC BASKETBALL CLUB U14,55,55,×
男子,24,中崎B.B.C. U15,中崎B.B.C. U15,13,13,×
男子,25,HDC Academy Cranes,HDC Academy Cranes,40,40,×
男子,26,えびす,えびす,70,68,×
男子,27,尼崎市立大庄中学校,尼崎市立大庄中学校,25,25,×
男子,28,えびすTHIRD,えびすTHIRD,72,70,×
男子,29,U15 ドリームメーカーズ,U15 ドリームメーカーズ,73,71,×
男子,30,神戸ブライアンツ,神戸ブライアンツ,36,36,×
男子,31,All Blacks,All Blacks,28,28,×
男子,32,U14 ゴッドドア,U14 ゴッドドア,27,27,×
男子,33,Turkeys 2nd,Turkeys 2nd,61,61,×
男子,34,VLakers Basketball Club U15 男子,VLakers Basketball Club U15 男子,63,62,×
男子,35,V-WAVE,V-WAVE,38,38,×
男子,36,Westrick,Westrick,5,5,×
男子,37,VEARTH,VEARTH,76,74,×
男子,38,HYOGO KOREA,HYOGO KOREA,77,75,×
男子,39,報徳学園中学校,報徳学園中学校,1,1,×
男子,40,NorthWave,NorthWave,46,46,×
男子,41,池田バスケットボールクラブ,池田バスケットボールクラブ,75,73,×
男子,42,BRAVEBIRDS U14,BRAVEBIRDS U14,53,53,×
男子,43,DIVE basketball academy,DIVE basketball academy,50,50,×
男子,44,DRAGON basketball,DRAGON basketball,22,22,×
男子,45,WINGS,WINGS,8,8,×
男子,46,明石市立野々池中学校,明石市立野々池中学校,56,56,×
男子,47,KARTER,KARTER,44,44,×
男子,48,Grow wings,Grow wings,67,66,×
男子,49,EPIC BASKETBALL CLUB U15,EPIC BASKETBALL CLUB U15,54,54,×
男子,50,西神戸ユニバース,西神戸ユニバース,48,48,×
男子,51,BCJ Academy,BCJ Academy,18,18,×
男子,52,DunkGo Club,DunkGo Club,15,15,×
男子,53,UNICORN BASKETBALL CLUB,UNICORN BASKETBALL CLUB,10,10,×
男子,54,BRUINS ashiya,BRUINS ashiya,23,23,×
男子,55,Improve Basketball Club,Improve Basketball Club,29,29,×
男子,56,SKYBLUEZ BASKETBALL CLUB,SKYBLUEZ BASKETBALL CLUB,30,30,×
男子,57,神戸ストークスU14,神戸ストークスU14,12,12,×
男子,58,Three B,Three B,19,19,×
男子,59,ゴッド ドア,ゴッドドア,26,26,×
男子,60,Three B U14,Three B U14,20,20,×
男子,61,えびすSECOND,えびすSECOND,71,69,×
男子,62,SAMURAI,SAMURAI,49,49,×
男子,63,FightingArts,FightingArts,58,58,×
男子,64,TURKEYS,TURKEYS,60,60,×
男子,65,RIVER WEST,RIVER WEST,69,67,×
男子,66,Kobe Center Circle,Kobe Center Circle,32,32,×
男子,67,RED PIECE,RED PIECE,65,64,×
男子,68,GOAT,GOAT,3,3,×
男子,69,cantera karter,cantera karter,45,45,×
男子,70,Kobe Center Circle 2,Kobe Center Circle 2,33,33,×
男子,71,Wild Wolves,Wild Wolves,24,24,×
男子,72,team DENY,team DENY,14,14,×
男子,73,尼崎市立塚口中学校,尼崎市立塚口中学校,51,51,×
男子,74,BELUGA,BELUGA,74,72,○
男子,75,A.C.T. BASKETBALL CLUB 2026,（メンバー表なし＝棄権）,,,―
男子,76,DREAMSEEKER,DREAMSEEKER,9,9,×
男子,77,明石市立望海中学校,明石市立望海中学校,39,39,×
女子,1,All BLUE,All BLUE,12,87,×
女子,2,BLACK PANTHERS_U14,BLACK PANTHERS_U14,11,86,×
女子,3,BRUINS kobe U15,BRUINS kobe U15,16,90,×
女子,4,SAKURA PRESS 女子,SAKURA PRESS 女子,1,76,×
女子,5,TURKEYS,TURKEYS,43,117,×
女子,6,PENGUINS U15,PENGUINS U15,3,78,×
女子,7,Dpro Leonora,Dpro Leonora,40,114,×
女子,8,ゴッド ドア,ゴッドドア,18,92,×
女子,9,VODKA Basketball Club,VODKA Basketball Club,28,102,×
女子,10,池田バスケットボールクラブ,池田バスケットボールクラブ,51,124,×
女子,11,WEST RIVER,WEST RIVER,33,107,×
女子,12,ROSELLE,ROSELLE,7,82,×
女子,13,GLANZ,GLANZ,24,98,×
女子,14,EPIC BASKETBALL CLUB U15,EPIC BASKETBALL CLUB U15,37,111,×
女子,15,ALL BLUE GAO,ALL BLUE GAO,13,88,×
女子,16,VOLTAGE,VOLTAGE,42,116,×
女子,17,COULEUR,COULEUR,4,79,×
女子,18,KARTER,KARTER,30,104,×
女子,19,WINGS,WINGS,44,118,×
女子,20,HDC Academy Cranes,HDC Academy Cranes,26,100,×
女子,21,KOBE RISING PHOENIX BASKETBALL SCHOOL,KOBE RISING PHOENIX BASKETBALL SCHOOL,8,83,×
女子,22,VLakers Basketball Club U15 女子,VLakers Basketball Club U15 女子,47,121,×
女子,23,CLUTCH,CLUTCH,39,113,×
女子,24,BAMBOO Shoot U15,BAMBOO Shoot U15,45,119,×
女子,25,百合学院中学校,百合学院中学校,36,110,×
女子,26,NorthWave,NorthWave,31,105,×
女子,27,明石市立二見中学校,明石市立二見中学校,46,120,×
女子,28,DIVE basketball academy,DIVE basketball academy,35,109,×
女子,29,DRAGON basketball,DRAGON basketball,15,89,×
女子,30,HyogoForce U13,HyogoForce U13,20,94,×
女子,31,Wild wolves,Wild wolves,17,91,×
女子,32,HyogoForce,Hyogo Force,19,93,×
女子,33,西神戸ユニバース,西神戸ユニバース,34,108,×
女子,34,南あわじ市立三原中学校,南あわじ市立三原中学校,52,125,×
女子,35,A.C.T. BASKETBALL CLUB 2026,A.C.T. BASKETBALL CLUB 2026,49,123,×
女子,36,MONKEYS basketball club,MONKEYS basketball club,25,99,×
女子,37,BLACK PANTHERS,BLACK PANTHERS,10,85,×
