掲載順,男女,整理番号,チーム名,選手数
1,男子,1,報徳学園中学校,20
2,男子,2,SAKURA PRESS 男子,20
3,男子,3,GOAT,10
4,男子,4,B-LION,14
5,男子,5,Westrick,19
6,男子,6,Falcons U15 basketball club team,18
7,男子,7,COULEUR,6
8,男子,8,WINGS,11
9,男子,9,DREAMSEEKER,19
10,男子,10,UNICORN BASKETBALL CLUB,14
11,男子,11,神戸ストークスU15,15
12,男子,12,神戸ストークスU14,18
13,男子,13,中崎B.B.C. U15,20
14,男子,14,team DENY,7
15,男子,15,DunkGo Club,20
16,男子,16,B.P.F ACADEMY,11
17,男子,17,BAYCROWN JUNIOR,16
18,男子,18,BCJ Academy,20
19,男子,19,Three B,12
20,男子,20,Three B U14,20
21,男子,21,甲南中学校,20
22,男子,22,DRAGON basketball,7
23,男子,23,BRUINS ashiya,20
24,男子,24,Wild Wolves,17
25,男子,25,尼崎市立大庄中学校,14
26,男子,26,ゴッドドア,15
27,男子,27,U14 ゴッドドア,20
28,男子,28,All Blacks,20
29,男子,29,Improve Basketball Club,18
30,男子,30,SKYBLUEZ BASKETBALL CLUB,15
31,男子,31,センターサークル,18
32,男子,32,Kobe Center Circle,15
33,男子,33,Kobe Center Circle 2,13
34,男子,34,ZENITH,10
35,男子,35,ZERO,12
36,男子,36,神戸ブライアンツ,14
37,男子,37,ARMS,17
38,男子,38,V-WAVE,20
39,男子,39,明石市立望海中学校,20
40,男子,40,HDC Academy Cranes,20
41,男子,41,G.Dark Horse,20
42,男子,42,MIRRORS,10
43,男子,43,ICE,14
44,男子,44,KARTER,12
45,男子,45,cantera karter,18
46,男子,46,NorthWave,20
47,男子,47,WEST RIVER,18
48,男子,48,西神戸ユニバース,20
49,男子,49,SAMURAI,17
50,男子,50,DIVE basketball academy,9
51,男子,51,尼崎市立塚口中学校,15
52,男子,52,BRAVE BIRDS,11
53,男子,53,BRAVEBIRDS U14,14
54,男子,54,EPIC BASKETBALL CLUB U15,12
55,男子,55,EPIC BASKETBALL CLUB U14,16
56,男子,56,明石市立野々池中学校,15
57,男子,57,神戸HOPES,16
58,男子,58,FightingArts,13
59,男子,59,Dpro Laluz,13
60,男子,60,TURKEYS,14
61,男子,61,Turkeys 2nd,18
62,男子,63,VLakers Basketball Club U15 男子,15
63,男子,64,VLakers Basketball Club U14 男子,6
64,男子,65,RED PIECE,18
65,男子,66,YFT PRESTO,8
66,男子,67,Grow wings,7
67,男子,69,RIVER WEST,20
68,男子,70,えびす,4
69,男子,71,えびすSECOND,14
70,男子,72,えびすTHIRD,20
71,男子,73,U15 ドリームメーカーズ,11
72,男子,74,BELUGA,14
73,男子,75,池田バスケットボールクラブ,13
74,男子,76,VEARTH,16
75,男子,77,HYOGO KOREA,12
76,女子,1,SAKURA PRESS 女子,20
77,女子,2,B.Victoire,12
78,女子,3,PENGUINS U15,20
79,女子,4,COULEUR,6
80,女子,5,DREAMSEEKER,13
81,女子,6,CORES,7
82,女子,7,ROSELLE,14
83,女子,8,KOBE RISING PHOENIX BASKETBALL SCHOOL,15
84,女子,9,DunkGo Club,17
85,女子,10,BLACK PANTHERS,14
86,女子,11,BLACK PANTHERS_U14,12
87,女子,12,All BLUE,12
88,女子,13,ALL BLUE GAO,10
89,女子,15,DRAGON basketball,9
90,女子,16,BRUINS kobe U15,12
91,女子,17,Wild wolves,11
92,女子,18,ゴッドドア,11
93,女子,19,Hyogo Force,14
94,女子,20,HyogoForce U13,13
95,女子,21,センターサークル,10
96,女子,22,RC,20
97,女子,23,V-WAVE,9
98,女子,24,GLANZ,20
99,女子,25,MONKEYS basketball club,10
100,女子,26,HDC Academy Cranes,19
101,女子,27,ICE,12
102,女子,28,VODKA Basketball Club,19
103,女子,29,高砂市立鹿島中学校,17
104,女子,30,KARTER,20
105,女子,31,NorthWave,20
106,女子,32,BE BEST,10
107,女子,33,WEST RIVER,10
108,女子,34,西神戸ユニバース,10
109,女子,35,DIVE basketball academy,7
110,女子,36,百合学院中学校,20
111,女子,37,EPIC BASKETBALL CLUB U15,16
112,女子,38,EPIC BASKETBALL CLUB U14,13
113,女子,39,CLUTCH,11
114,女子,40,Dpro Leonora,13
115,女子,41,BENCHERS,10
116,女子,42,VOLTAGE,20
117,女子,43,TURKEYS,15
118,女子,44,WINGS,8
119,女子,45,BAMBOO Shoot U15,12
120,女子,46,明石市立二見中学校,15
121,女子,47,VLakers Basketball Club U15 女子,12
122,女子,48,VLakers Basketball Club U14 女子,8
123,女子,49,A.C.T. BASKETBALL CLUB 2026,7
124,女子,51,池田バスケットボールクラブ,6
125,女子,52,南あわじ市立三原中学校,12
